Document_ID,Status,In_SAP,In_PDF,Is_Duplicate,File_Path
26100806,MISSING_PDF,YES,NO,NO,
26100811,MISSING_PDF,YES,NO,NO,
26100834,MISSING_PDF,YES,NO,NO,
26100835,MISSING_PDF,YES,NO,NO,
26100836,MISSING_PDF,YES,NO,NO,
26100837,MISSING_PDF,YES,NO,NO,
26100838,MISSING_PDF,YES,NO,NO,
26100843,MISSING_PDF,YES,NO,NO,
26100844,MISSING_PDF,YES,NO,NO,
26100845,MISSING_PDF,YES,NO,NO,
26100846,MISSING_PDF,YES,NO,NO,
26100847,MISSING_PDF,YES,NO,NO,
26100848,MISSING_PDF,YES,NO,NO,
26100849,MISSING_PDF,YES,NO,NO,
26100850,MISSING_PDF,YES,NO,NO,
26100851,MISSING_PDF,YES,NO,NO,
26100853,MISSING_PDF,YES,NO,NO,
26100854,MISSING_PDF,YES,NO,NO,
26100855,MISSING_PDF,YES,NO,NO,
26100856,MISSING_PDF,YES,NO,NO,
26100859,MISSING_PDF,YES,NO,NO,
26100861,MISSING_PDF,YES,NO,NO,
26100881,MISSING_PDF,YES,NO,NO,
26100894,MISSING_PDF,YES,NO,NO,
26100895,MISSING_PDF,YES,NO,NO,
26100896,MISSING_PDF,YES,NO,NO,
26100897,MISSING_PDF,YES,NO,NO,
26100898,MISSING_PDF,YES,NO,NO,
26100899,MISSING_PDF,YES,NO,NO,
26100900,MISSING_PDF,YES,NO,NO,
26100901,MISSING_PDF,YES,NO,NO,
26100902,MISSING_PDF,YES,NO,NO,
26100903,MISSING_PDF,YES,NO,NO,
26100904,MISSING_PDF,YES,NO,NO,
26100906,MISSING_PDF,YES,NO,NO,
26100907,MISSING_PDF,YES,NO,NO,
26100908,MISSING_PDF,YES,NO,NO,
26100910,MISSING_PDF,YES,NO,NO,
26100915,MISSING_PDF,YES,NO,NO,
26100926,MISSING_PDF,YES,NO,NO,
26100928,MISSING_PDF,YES,NO,NO,
26100929,MISSING_PDF,YES,NO,NO,
26100938,MISSING_PDF,YES,NO,NO,
26100939,MISSING_PDF,YES,NO,NO,
26100940,MISSING_PDF,YES,NO,NO,
26100941,MISSING_PDF,YES,NO,NO,
26100944,MISSING_PDF,YES,NO,NO,
26100945,MISSING_PDF,YES,NO,NO,
26100946,MISSING_PDF,YES,NO,NO,
26100962,MISSING_PDF,YES,NO,NO,
26100963,MISSING_PDF,YES,NO,NO,
26100978,MISSING_PDF,YES,NO,NO,
26100993,MISSING_PDF,YES,NO,NO,
26100994,MISSING_PDF,YES,NO,NO,
26100995,MISSING_PDF,YES,NO,NO,
26100996,MISSING_PDF,YES,NO,NO,
26100997,MISSING_PDF,YES,NO,NO,
26100999,MISSING_PDF,YES,NO,NO,
26101001,MISSING_PDF,YES,NO,NO,
26101003,MISSING_PDF,YES,NO,NO,
26101004,MISSING_PDF,YES,NO,NO,
26101005,MISSING_PDF,YES,NO,NO,
26101006,MISSING_PDF,YES,NO,NO,
26101007,MISSING_PDF,YES,NO,NO,
26101008,MISSING_PDF,YES,NO,NO,
26101009,MISSING_PDF,YES,NO,NO,
26101010,MISSING_PDF,YES,NO,NO,
26101011,MISSING_PDF,YES,NO,NO,
26101013,MISSING_PDF,YES,NO,NO,
26101017,MISSING_PDF,YES,NO,NO,
26101018,MISSING_PDF,YES,NO,NO,
26101019,MISSING_PDF,YES,NO,NO,
26101022,MISSING_PDF,YES,NO,NO,
26101023,MISSING_PDF,YES,NO,NO,
26101026,MISSING_PDF,YES,NO,NO,
26101027,MISSING_PDF,YES,NO,NO,
26101028,MISSING_PDF,YES,NO,NO,
26101029,MISSING_PDF,YES,NO,NO,
26101030,MISSING_PDF,YES,NO,NO,
26101031,MISSING_PDF,YES,NO,NO,
26101033,MISSING_PDF,YES,NO,NO,
26101034,MISSING_PDF,YES,NO,NO,
26101036,MISSING_PDF,YES,NO,NO,
